Unnamed: 0,War,Start Year,End Year,Start Date,End Date

11,Vietnam Civil War, 1955, 1964, 1955-01-01,1964-01-01
21,Vietnam War, 1965, 1975, 1965-01-01,1975-01-01
31,Vietnam vs Cambodia (Kampuchea) 1978,1978, 1978-01-1,1978-01-01
41,Sino-Vietnamese, 1978,1988,1978-01-01,1988-01-01
51,Colombia Govt vs Guerillas Farc and ELN,1964,2016,1964-01-01,2016-01-01
